SubjectID	WeekSampleObtained	s__Bacteroides_caccae	s__Bacteroides_cellulosilyticus	s__Bacteroides_dorei	s__Bacteroides_eggerthii	s__Bacteroides_fragilis	s__Bacteroides_massiliensis	s__Bacteroides_ovatus	s__Bacteroides_sp_4_3_47FAA	s__Bacteroides_stercoris	s__Bacteroides_thetaiotaomicron	s__Bacteroides_uniformis	s__Bacteroides_vulgatus	s__Parabacteroides_distasonis	s__Parabacteroides_merdae	s__Parabacteroides_unclassified	s__Prevotella_copri	s__Alistipes_onderdonkii	s__Alistipes_putredinis	s__Eubacterium_rectale	s__Roseburia_intestinalis	s__Faecalibacterium_prausnitzii	s__Subdoligranulum_unclassified	s__Dialister_invisus	s__Escherichia_coli	s__Akkermansia_muciniphila
1	0	0.0578261	0	0.0002229	0	0.0136698	0	0	0	0	0.126928	0.533511	0.0606601	0	0	0	0	0	0	0	0	0.0779317	0.0042759	0.0235924	0.0002294	0
1	2	0.0337539	0.0002436	0	0	0.0115106	0	0.0006529	0	0.01886	0.189264	0.565899	0.0421875	0.001162	0.0006069	0	0	7.26E-05	0.0012588	0.0001234	0	0.0141565	0.0076179	0.042462	0.0001029	0
1	4	0.0685202	0	7.30E-06	0	0.153931	0	0	0	0	0.241029	0.42151	0.0410435	0	0	7.41E-05	0	0	0	0	0	0.0119795	0.0013447	0.0028206	0.0015338	0.010949
1	6	0.0449648	0	0.0031525	0	0.0776428	0	0.0023376	0	0	0.164185	0.570959	0.0366259	0	0	0	0	2.70E-06	0.000829	0	0	0.0349692	0.0013524	0.0292553	0.0004983	0.016114
1	8	0.0321812	0	0	0	0.126225	0	0	0	0	0.331273	0.321698	0.012813	0	0	0	0	0	0	0	0.0001983	0.0404421	0.0030283	0.0237157	0	0.0813517
1	12	0.0583412	0	0.0001333	4.70E-06	0.0449193	0	0.0007031	0	0.0526487	0.121081	0.418162	0.0841131	0.0109128	0.001458	0	0.0263818	0	0.0031863	0	0	0.0152797	0.0071678	0.0506191	0.0002449	0.0281997
1	14	0.0142664	0	0	0	0.0128424	0	0	0	0	0.211296	0.568993	0.0385894	0	0	0	0	0	0	0	0	0.0052723	0.0145876	0.030497	0.0014821	0.0550942
1	16	0.215979	0	0.0575759	0	0.0031481	0	0	0	4.20E-05	0.0714575	0.281238	0.0319165	0	0	6.97E-05	0	0	0	0.0038073	0	0.0046175	0.0175466	0.0081706	0.0964719	0.0229794
1	18	0.0482304	0	1.21E-05	0	0.0442884	0	0	0	0	0.22306	0.550647	0.0413053	0	0	0.0001418	0	0	0	0	0	0.0151184	0.0051576	0.0093862	0.0094804	0.0021535
1	20	0.0232205	0	0	0	0.0143431	0	0	0	0	0.143841	0.394913	0.0826526	0	0	0	0	0	0	0	0	0.055412	0.0159726	0.0525671	0.0010821	0.0308464
